ม๖มก,ม๖มกธํ,ภฯฝร,รึภ๚ฑโฟย(กฦC),รึฐํฑโฟย(กฦC),ภฯฐญผ๖ทฎ(mm),ฦ๒ฑี วณผำ(m/s),ฦ๒ฑี ป๓ด๋ฝภตต(%),ภฯ รึฝษฝลภ๛ผณ(cm),ฦ๒ฑี ภüฟ๎ทฎ(1/10),พศฐณ ฐ่ผำฝรฐฃ(hr),ภฯ นฬผผธีม๖ ณ๓ตต(งถ/งฉ)
175,ม๘ตต(รทย๛ป๊),2002-02-24,-0.8,11.6,,4.7,63.9,,0.5,,
175,ม๘ตต(รทย๛ป๊),2002-02-25,3.7,12.2,,4.8,70.9,,6.5,,
175,ม๘ตต(รทย๛ป๊),2002-02-26,3.1,8.9,0.5,3.7,63.5,,7.8,,
175,ม๘ตต(รทย๛ป๊),2002-02-27,2.0,7.0,6.5,4.3,65.0,,9.4,,
175,ม๘ตต(รทย๛ป๊),2002-02-28,1.9,10.5,,5.1,70.8,,4.4,,
175,ม๘ตต(รทย๛ป๊),2002-03-01,3.9,12.2,,3.5,64.3,,4.6,,
175,ม๘ตต(รทย๛ป๊),2002-03-02,2.8,11.0,,4.8,56.0,,7.4,,
175,ม๘ตต(รทย๛ป๊),2002-03-03,-0.6,7.8,,6.5,73.9,,4.6,,
175,ม๘ตต(รทย๛ป๊),2002-03-04,-1.8,11.5,0.0,5.7,57.3,,6.9,,
175,ม๘ตต(รทย๛ป๊),2002-03-05,0.9,6.6,11.5,6.2,97.9,,10.0,21.42,
175,ม๘ตต(รทย๛ป๊),2002-03-06,-0.9,2.9,1.0,11.2,79.4,,7.0,2.33,
175,ม๘ตต(รทย๛ป๊),2002-03-07,-1.5,4.1,,7.0,57.8,,1.6,,
175,ม๘ตต(รทย๛ป๊),2002-03-08,0.5,11.2,,3.3,59.0,,2.1,,
175,ม๘ตต(รทย๛ป๊),2002-03-09,5.8,14.0,,6.1,81.8,,2.9,3.17,
175,ม๘ตต(รทย๛ป๊),2002-03-10,1.4,9.8,,9.4,85.0,,4.8,6.08,
175,ม๘ตต(รทย๛ป๊),2002-03-11,1.5,13.1,,4.7,29.1,,0.3,,
175,ม๘ตต(รทย๛ป๊),2002-03-12,6.4,13.2,0.0,4.2,18.1,,4.4,,
175,ม๘ตต(รทย๛ป๊),2002-03-13,7.2,17.2,,6.2,51.6,,2.0,,
175,ม๘ตต(รทย๛ป๊),2002-03-14,8.2,13.0,22.0,6.4,96.5,,10.0,18.5,
175,ม๘ตต(รทย๛ป๊),2002-03-15,3.1,8.1,,8.3,91.4,,9.0,15.83,
175,ม๘ตต(รทย๛ป๊),2002-03-16,3.7,15.8,,4.7,37.9,,4.3,,
175,ม๘ตต(รทย๛ป๊),2002-03-17,6.9,16.9,,4.2,47.9,,6.6,0.5,
175,ม๘ตต(รทย๛ป๊),2002-03-18,3.3,12.0,,8.0,45.0,,0.4,1.5,
175,ม๘ตต(รทย๛ป๊),2002-03-19,3.1,15.4,,6.3,67.3,,1.6,,
175,ม๘ตต(รทย๛ป๊),2002-03-20,8.5,18.1,,7.1,84.5,,7.0,3.25,
175,ม๘ตต(รทย๛ป๊),2002-03-21,3.9,14.2,10.0,7.9,83.6,,7.8,5.5,
175,ม๘ตต(รทย๛ป๊),2002-03-22,1.8,6.4,0.4,8.4,83.8,,7.4,1.92,
175,ม๘ตต(รทย๛ป๊),2002-03-23,1.2,9.6,,7.1,58.8,,2.5,,
175,ม๘ตต(รทย๛ป๊),2002-03-24,0.8,11.2,,3.0,46.8,,4.6,,
175,ม๘ตต(รทย๛ป๊),2002-03-25,5.4,14.5,,3.4,45.0,,2.4,,
175,ม๘ตต(รทย๛ป๊),2002-03-26,5.7,14.6,,4.5,62.1,,9.4,,
175,ม๘ตต(รทย๛ป๊),2002-03-27,4.7,12.8,,6.2,71.9,,3.1,,
175,ม๘ตต(รทย๛ป๊),2002-03-28,5.6,16.1,3.0,7.9,82.0,,6.4,,
175,ม๘ตต(รทย๛ป๊),2002-03-29,6.0,14.1,4.0,5.9,83.1,,6.1,10.17,
175,ม๘ตต(รทย๛ป๊),2002-03-30,7.9,18.5,0.5,4.5,48.0,,2.5,,
175,ม๘ตต(รทย๛ป๊),2002-03-31,5.1,14.7,,7.2,71.6,,4.1,8.67,
175,ม๘ตต(รทย๛ป๊),2002-04-01,10.8,23.5,,3.7,29.3,,1.6,,
175,ม๘ตต(รทย๛ป๊),2002-04-02,11.9,21.7,,3.6,53.3,,6.3,4.33,
175,ม๘ตต(รทย๛ป๊),2002-04-03,8.3,18.8,,4.9,91.1,,4.4,11.67,
175,ม๘ตต(รทย๛ป๊),2002-04-04,6.9,18.0,,7.2,52.4,,0.8,,
175,ม๘ตต(รทย๛ป๊),2002-04-05,7.3,18.0,3.5,12.5,76.5,,6.4,,
175,ม๘ตต(รทย๛ป๊),2002-04-06,9.8,15.2,41.5,8.9,98.5,,7.5,12.72,
175,ม๘ตต(รทย๛ป๊),2002-04-07,8.0,13.8,,6.9,97.0,,8.8,21.0,
175,ม๘ตต(รทย๛ป๊),2002-04-08,4.8,12.7,,7.0,53.5,,5.0,4.17,
175,ม๘ตต(รทย๛ป๊),2002-04-09,2.8,10.7,,6.7,69.4,,2.0,,
175,ม๘ตต(รทย๛ป๊),2002-04-10,3.5,13.4,,5.0,60.8,,5.1,,
175,ม๘ตต(รทย๛ป๊),2002-04-11,5.7,14.4,,4.8,54.8,,6.6,3.5,
175,ม๘ตต(รทย๛ป๊),2002-04-12,6.2,17.0,,6.4,80.5,,6.5,9.42,
175,ม๘ตต(รทย๛ป๊),2002-04-13,4.1,16.2,,6.3,66.8,,0.0,1.17,
175,ม๘ตต(รทย๛ป๊),2002-04-14,11.4,18.1,5.0,10.6,82.6,,6.4,,
175,ม๘ตต(รทย๛ป๊),2002-04-15,12.7,17.1,6.5,8.2,99.0,,10.0,17.67,
