지점,지점명,일시,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),일 최심신적설(cm),평균 전운량(1/10),안개 계속시간(hr),일 미세먼지 농도(㎍/㎥)
264,함양군,2010-09-26,10.5,22.0,,0.2,81.9,,,,
264,함양군,2010-09-27,10.5,22.0,,0.1,84.1,,,,
264,함양군,2010-09-28,7.6,22.0,,1.1,69.5,,,,
264,함양군,2010-09-29,6.7,20.0,,0.1,77.1,,,,
264,함양군,2010-09-30,8.2,24.0,,0.7,74.9,,,,
264,함양군,2010-10-01,6.5,24.3,,0.3,80.9,,,,
264,함양군,2010-10-02,10.1,23.5,18.0,0.8,84.8,,,,
264,함양군,2010-10-03,13.6,22.8,6.5,2.1,76.0,,,,
264,함양군,2010-10-04,12.6,17.6,0.5,3.0,73.6,,,,
264,함양군,2010-10-05,9.6,23.4,0.0,1.3,76.1,,,,
264,함양군,2010-10-06,8.6,23.3,,0.3,82.1,,,,
264,함양군,2010-10-07,10.6,24.0,,0.4,79.6,,,,
264,함양군,2010-10-08,12.0,22.8,11.5,0.3,84.6,,,,
264,함양군,2010-10-09,13.2,24.3,0.1,0.3,81.5,,,,
264,함양군,2010-10-10,11.4,26.1,,0.6,77.9,,,,
264,함양군,2010-10-11,9.0,22.4,1.0,0.1,85.8,,,,
264,함양군,2010-10-12,9.5,24.4,,0.7,80.8,,,,
264,함양군,2010-10-13,11.6,20.3,,0.9,83.0,,,,
264,함양군,2010-10-14,9.7,21.4,,1.0,71.8,,,,
264,함양군,2010-10-15,6.5,19.3,,2.2,52.1,,,,
264,함양군,2010-10-16,4.5,21.2,,1.1,72.3,,,,
264,함양군,2010-10-17,5.1,23.2,,0.3,77.0,,,,
264,함양군,2010-10-18,7.0,23.5,,0.2,79.4,,,,
264,함양군,2010-10-19,7.4,21.3,,0.1,83.6,,,,
264,함양군,2010-10-20,8.3,23.9,,0.3,78.0,,,,
264,함양군,2010-10-21,9.3,22.7,,0.4,76.9,,,,
264,함양군,2010-10-22,7.9,21.3,,0.6,75.6,,,,
264,함양군,2010-10-23,7.0,19.9,5.5,0.3,80.6,,,,
264,함양군,2010-10-24,13.5,18.8,18.0,0.1,91.8,,,,
264,함양군,2010-10-25,8.0,18.2,,3.0,61.8,,,,
264,함양군,2010-10-26,-2.3,9.6,,2.8,36.4,,,,
264,함양군,2010-10-27,-3.6,14.0,,0.4,67.6,,,,
264,함양군,2010-10-28,-0.2,15.6,,0.5,64.4,,,,
264,함양군,2010-10-29,-2.3,17.7,,0.5,71.3,,,,
264,함양군,2010-10-30,2.8,18.0,,0.4,75.4,,,,
264,함양군,2010-10-31,2.2,18.4,,0.8,67.4,,,,
264,함양군,2010-11-01,2.4,17.2,,2.2,59.1,,,,
264,함양군,2010-11-02,1.9,13.2,,4.2,43.0,,,,
264,함양군,2010-11-03,-0.2,14.3,,1.8,56.6,,,,
264,함양군,2010-11-04,-1.6,16.6,,0.9,67.8,,,,
264,함양군,2010-11-05,-0.9,18.6,,0.8,70.4,,,,
264,함양군,2010-11-06,-1.4,20.0,,0.5,63.5,,,,
264,함양군,2010-11-07,-0.2,18.2,,0.8,64.5,,,,
264,함양군,2010-11-08,4.3,14.4,0.4,4.7,54.8,,,,
264,함양군,2010-11-09,3.6,8.2,0.5,5.0,50.5,,,,
264,함양군,2010-11-10,0.8,13.8,,2.4,54.6,,,,
264,함양군,2010-11-11,-0.9,17.2,2.5,1.3,63.0,,,,
264,함양군,2010-11-12,0.7,15.5,,3.1,44.8,,,,
264,함양군,2010-11-13,-2.3,12.6,,0.1,71.1,,,,
264,함양군,2010-11-14,2.0,16.4,,1.8,52.0,,,,
264,함양군,2010-11-15,-2.9,9.8,,2.7,27.9,,,,
264,함양군,2010-11-16,-5.9,11.4,,0.6,55.4,,,,
264,함양군,2010-11-17,-2.9,13.4,,0.4,59.5,,,,
264,함양군,2010-11-18,-4.1,13.9,,0.2,67.3,,,,
264,함양군,2010-11-19,-4.4,12.5,,0.2,73.6,,,,
264,함양군,2010-11-20,-4.3,17.5,,0.4,65.6,,,,
264,함양군,2010-11-21,-1.5,17.3,,0.3,73.9,,,,
264,함양군,2010-11-22,-1.1,14.6,0.5,2.2,55.3,,,,
264,함양군,2010-11-23,-5.2,14.5,,0.3,59.8,,,,
264,함양군,2010-11-24,-1.2,14.6,,0.6,61.9,,,,
264,함양군,2010-11-25,1.1,9.0,,2.8,53.0,,,,
264,함양군,2010-11-26,-4.4,8.6,,1.5,43.4,,,,
264,함양군,2010-11-27,-6.5,13.8,0.5,2.8,57.3,,,,
264,함양군,2010-11-28,-0.9,8.2,,2.4,34.6,,,,
264,함양군,2010-11-29,-1.9,13.7,0.3,1.1,58.6,,,,
264,함양군,2010-11-30,0.0,15.2,5.0,0.6,81.5,,,,
264,함양군,2010-12-01,-0.7,15.9,,0.0,83.4,,,,
264,함양군,2010-12-02,0.0,10.2,0.0,0.1,84.0,,,,
264,함양군,2010-12-03,0.8,10.0,0.5,5.5,41.8,,,,
264,함양군,2010-12-04,-3.0,11.6,,2.0,47.9,,,,
264,함양군,2010-12-05,-4.5,14.6,,1.4,73.6,,,,
264,함양군,2010-12-06,0.2,11.3,,3.3,63.5,,,,
264,함양군,2010-12-07,-4.5,7.6,,2.4,39.9,,,,
264,함양군,2010-12-08,-7.2,5.7,2.0,1.4,66.6,0.7,,,
264,함양군,2010-12-09,-5.5,3.7,,2.7,50.6,,,,
264,함양군,2010-12-10,-7.9,13.1,0.0,1.0,58.6,,,,
264,함양군,2010-12-11,-6.8,10.7,,3.7,40.3,,,,
264,함양군,2010-12-12,-9.8,3.1,0.0,0.2,47.3,,,,
264,함양군,2010-12-13,-0.1,5.7,15.5,0.0,89.6,,,,
264,함양군,2010-12-14,-3.6,6.9,,3.3,55.9,,,,
264,함양군,2010-12-15,-5.8,-0.2,,3.7,36.9,,,,
264,함양군,2010-12-16,-8.8,1.4,,2.0,49.5,,,,
264,함양군,2010-12-17,-4.7,5.3,1.7,2.2,64.8,2.2,,,
264,함양군,2010-12-18,-5.0,8.7,,0.5,68.1,,,,
264,함양군,2010-12-19,-5.1,12.6,,0.7,67.3,,,,
264,함양군,2010-12-20,-2.5,16.5,,0.7,56.1,,,,
264,함양군,2010-12-21,-4.9,10.8,,0.1,74.3,,,,
264,함양군,2010-12-22,-4.7,11.1,,1.1,69.3,,,,
264,함양군,2010-12-23,-4.7,8.5,,2.1,58.9,,,,
264,함양군,2010-12-24,-7.6,-1.2,,5.0,29.5,,,,
264,함양군,2010-12-25,-8.5,-2.0,,4.3,38.3,,,,
264,함양군,2010-12-26,-8.8,0.0,1.5,2.9,56.3,3.1,,,
264,함양군,2010-12-27,-4.3,3.0,0.3,2.2,68.3,1.1,,,
264,함양군,2010-12-28,-3.6,3.5,7.9,2.2,71.9,2.8,,,
264,함양군,2010-12-29,-3.5,0.7,,3.4,62.1,,,,
264,함양군,2010-12-30,-5.2,0.3,4.3,2.5,62.4,8.5,,,
264,함양군,2010-12-31,-8.4,-1.9,,2.9,49.0,,,,
264,함양군,2011-01-01,-10.6,1.2,,2.4,52.0,,,,
264,함양군,2011-01-02,-12.1,3.5,,1.3,63.6,,,,
264,함양군,2011-01-03,-11.0,3.9,,1.1,62.9,,,,
264,함양군,2011-01-04,-5.2,2.2,,3.2,53.6,,,,
264,함양군,2011-01-05,-1.8,2.0,0.0,4.0,55.1,,,,
264,함양군,2011-01-06,-6.3,-0.4,,3.5,49.0,,,,
264,함양군,2011-01-07,-11.1,0.5,,2.4,42.3,,,,
264,함양군,2011-01-08,-13.1,3.8,,2.0,58.9,,,,
264,함양군,2011-01-09,-7.2,1.8,,3.6,42.6,,,,
264,함양군,2011-01-10,-12.0,0.1,,2.1,37.8,,,,
264,함양군,2011-01-11,-11.0,1.9,0.0,2.0,52.9,,,,
264,함양군,2011-01-12,-9.4,-1.0,0.0,2.7,38.1,0.2,,,
264,함양군,2011-01-13,-10.9,1.9,,1.4,50.5,,,,
264,함양군,2011-01-14,-12.3,4.4,,1.4,57.0,,,,
264,함양군,2011-01-15,-12.4,-0.4,0.0,4.6,33.3,,,,
264,함양군,2011-01-16,-12.7,-4.2,,4.9,38.0,,,,
264,함양군,2011-01-17,-8.2,0.7,,4.2,32.9,,,,
264,함양군,2011-01-18,-11.0,0.7,,2.3,51.8,,,,
264,함양군,2011-01-19,-5.6,1.7,,3.6,44.3,,,,
264,함양군,2011-01-20,-8.6,-0.1,,2.9,43.6,,,,
264,함양군,2011-01-21,-11.5,1.0,,2.5,41.6,,,,
264,함양군,2011-01-22,-7.4,2.9,,2.8,48.5,,,,
264,함양군,2011-01-23,-5.5,3.3,0.5,1.3,59.9,1.1,,,
264,함양군,2011-01-24,-6.4,-1.8,0.0,3.2,52.6,0.1,,,
264,함양군,2011-01-25,-9.1,0.8,,3.6,47.0,,,,
264,함양군,2011-01-26,-10.8,0.8,,2.6,48.6,,,,
264,함양군,2011-01-27,-7.2,1.0,,3.1,22.1,,,,
264,함양군,2011-01-28,-8.2,3.6,,1.9,21.3,,,,
264,함양군,2011-01-29,-10.2,-0.8,0.0,3.4,32.8,,,,
264,함양군,2011-01-30,-8.8,-1.9,,4.2,37.5,,,,
264,함양군,2011-01-31,-7.2,1.7,,3.5,38.9,,,,
264,함양군,2011-02-01,-3.9,7.4,,2.8,44.6,,,,
264,함양군,2011-02-02,-5.2,8.6,,1.8,47.6,,,,
264,함양군,2011-02-03,-9.8,8.6,,0.8,55.3,,,,
264,함양군,2011-02-04,-8.2,9.8,,1.3,46.6,,,,
264,함양군,2011-02-05,-6.4,11.2,,0.8,45.1,,,,
264,함양군,2011-02-06,-6.0,9.8,,1.6,54.6,,,,
264,함양군,2011-02-07,-4.3,11.0,,0.7,50.4,,,,
264,함양군,2011-02-08,-1.9,3.0,0.1,0.1,75.6,,,,
264,함양군,2011-02-09,-3.4,5.4,,2.7,54.4,,,,
264,함양군,2011-02-10,-4.8,3.7,,0.4,64.5,,,,
264,함양군,2011-02-11,-8.2,5.8,,2.9,49.8,,,,
264,함양군,2011-02-12,-9.1,0.9,,3.7,42.1,,,,
264,함양군,2011-02-13,-12.2,4.8,,0.3,46.8,,,,
264,함양군,2011-02-14,-8.3,1.1,,1.6,55.9,,,,
264,함양군,2011-02-15,-9.5,7.0,,1.0,59.1,,,,
264,함양군,2011-02-16,-8.8,10.5,1.0,0.4,62.4,,,,
264,함양군,2011-02-17,0.6,6.9,2.5,1.8,80.1,,,,
264,함양군,2011-02-18,-5.8,9.7,,0.5,67.8,,,,
264,함양군,2011-02-19,-4.8,11.6,,0.9,58.9,,,,
264,함양군,2011-02-20,-3.6,14.0,,0.8,55.6,,,,
264,함양군,2011-02-21,-4.7,12.7,,0.4,61.3,,,,
264,함양군,2011-02-22,-6.1,13.4,,0.2,60.6,,,,
264,함양군,2011-02-23,-4.1,14.5,,0.2,65.6,,,,
264,함양군,2011-02-24,-3.6,17.7,,1.8,52.6,,,,
264,함양군,2011-02-25,-3.9,13.2,,1.6,40.6,,,,
264,함양군,2011-02-26,-6.3,13.7,0.0,1.1,55.8,,,,
264,함양군,2011-02-27,4.3,7.7,40.5,0.4,90.8,,,,
264,함양군,2011-02-28,4.7,6.7,9.0,0.4,90.1,,,,
264,함양군,2011-03-01,-0.9,5.1,0.3,3.4,73.4,,,,
264,함양군,2011-03-02,-2.5,4.5,,4.5,42.5,,,,
264,함양군,2011-03-03,-4.4,4.6,,4.0,41.8,,,,
264,함양군,2011-03-04,-3.1,7.0,,2.9,49.9,,,,
264,함양군,2011-03-05,-6.8,10.6,,1.2,56.4,,,,
264,함양군,2011-03-06,-1.0,13.7,,1.3,49.5,,,,
264,함양군,2011-03-07,-0.4,7.9,,3.8,49.0,,,,
264,함양군,2011-03-08,-1.9,9.2,,3.6,39.9,,,,
264,함양군,2011-03-09,-0.1,6.6,,4.7,43.9,,,,
264,함양군,2011-03-10,-1.8,8.9,,4.0,47.6,,,,
264,함양군,2011-03-11,-2.8,12.0,,2.7,45.8,,,,
264,함양군,2011-03-12,-2.3,16.4,,1.2,49.3,,,,
264,함양군,2011-03-13,-2.1,20.8,,1.1,60.9,,,,
264,함양군,2011-03-14,1.8,20.9,,1.6,62.6,,,,
264,함양군,2011-03-15,-0.9,9.3,,5.2,48.1,,,,
264,함양군,2011-03-16,-2.0,5.4,,3.9,39.0,,,,
264,함양군,2011-03-17,-3.6,9.8,,2.7,40.3,,,,
264,함양군,2011-03-18,-6.0,14.8,,0.6,48.8,,,,
264,함양군,2011-03-19,0.0,16.3,,2.1,58.4,,,,
264,함양군,2011-03-20,5.8,14.9,12.0,0.8,84.4,,,,
264,함양군,2011-03-21,5.1,15.4,,1.3,65.1,,,,
264,함양군,2011-03-22,-0.4,8.4,,4.4,41.9,,,,
264,함양군,2011-03-23,-1.7,8.7,,3.2,41.6,,,,
264,함양군,2011-03-24,-0.7,11.1,2.5,3.4,45.5,,,,
264,함양군,2011-03-25,-0.1,7.3,0.0,4.6,47.5,,,,
264,함양군,2011-03-26,-5.5,9.8,,1.9,51.8,,,,
264,함양군,2011-03-27,-5.5,13.0,0.0,1.3,50.3,,,,
264,함양군,2011-03-28,-0.5,12.9,,2.3,47.0,,,,
264,함양군,2011-03-29,-4.6,11.7,,1.8,52.6,,,,
264,함양군,2011-03-30,0.3,17.2,,3.6,40.6,,,,
264,함양군,2011-03-31,-1.4,22.5,,1.6,38.5,,,,
264,함양군,2011-04-01,-2.4,21.5,,2.0,37.8,,,,
264,함양군,2011-04-02,6.7,19.4,0.0,1.2,39.0,,,,
264,함양군,2011-04-03,0.7,8.9,6.5,0.5,89.4,,,,
264,함양군,2011-04-04,0.1,16.6,,0.8,67.5,,,,
264,함양군,2011-04-05,-2.8,20.8,,0.6,55.1,,,,
264,함양군,2011-04-06,-1.4,21.6,0.5,1.1,57.3,,,,
264,함양군,2011-04-07,9.4,14.1,10.0,0.2,92.3,,,,
264,함양군,2011-04-08,6.7,20.7,2.5,1.9,61.6,,,,
264,함양군,2011-04-09,0.6,19.5,,1.5,55.0,,,,
264,함양군,2011-04-10,0.0,21.5,,2.4,47.6,,,,
264,함양군,2011-04-11,6.3,15.9,1.5,3.5,43.8,,,,
264,함양군,2011-04-12,-1.6,19.2,,2.2,40.5,,,,
264,함양군,2011-04-13,0.0,21.3,,2.6,39.1,,,,
264,함양군,2011-04-14,-1.1,23.3,,1.8,43.1,,,,
264,함양군,2011-04-15,9.7,26.3,,3.0,56.1,,,,
264,함양군,2011-04-16,6.1,24.2,,1.9,52.1,,,,
264,함양군,2011-04-17,5.3,20.7,,1.6,48.9,,,,
264,함양군,2011-04-18,4.9,10.9,0.3,3.2,66.5,,,,
264,함양군,2011-04-19,4.2,16.3,0.0,2.9,53.6,,,,
264,함양군,2011-04-20,0.3,20.4,,2.0,53.3,,,,
264,함양군,2011-04-21,2.6,22.4,,1.1,52.9,,,,
264,함양군,2011-04-22,10.1,15.2,13.5,1.6,85.9,,,,
264,함양군,2011-04-23,7.8,15.5,0.0,4.3,56.1,,,,
264,함양군,2011-04-24,6.7,16.3,0.0,3.6,52.6,,,,
264,함양군,2011-04-25,6.7,19.8,0.5,3.5,52.6,,,,
264,함양군,2011-04-26,9.0,13.6,46.0,0.6,94.0,,,,
264,함양군,2011-04-27,7.1,19.0,0.0,3.6,67.1,,,,
264,함양군,2011-04-28,4.2,15.8,,3.8,53.9,,,,
264,함양군,2011-04-29,0.3,21.6,,1.1,56.5,,,,
264,함양군,2011-04-30,13.1,27.5,8.5,2.1,72.4,,,,
264,함양군,2011-05-01,10.9,18.1,1.0,4.3,61.5,,,,
264,함양군,2011-05-02,8.6,25.9,,0.7,53.3,,,,
264,함양군,2011-05-03,12.1,23.3,,2.3,53.0,,,,
264,함양군,2011-05-04,5.1,23.8,,1.1,55.6,,,,
264,함양군,2011-05-05,5.0,23.6,,1.5,54.1,,,,
264,함양군,2011-05-06,5.4,20.2,,1.0,75.4,,,,
264,함양군,2011-05-07,12.9,25.9,0.0,1.5,74.3,,,,
264,함양군,2011-05-08,10.5,29.7,,0.7,65.8,,,,
264,함양군,2011-05-09,12.1,27.5,3.0,0.8,85.1,,,,
264,함양군,2011-05-10,20.3,25.5,49.0,1.4,89.0,,,,
264,함양군,2011-05-11,13.8,20.3,42.0,0.9,93.8,,,,
264,함양군,2011-05-12,13.6,21.9,2.0,2.5,69.9,,,,
264,함양군,2011-05-13,12.1,22.6,,5.0,41.6,,,,
264,함양군,2011-05-14,8.5,24.2,,3.6,41.5,,,,
264,함양군,2011-05-15,4.1,26.0,,2.3,50.1,,,,
264,함양군,2011-05-16,9.9,24.1,,2.1,52.1,,,,
264,함양군,2011-05-17,5.4,25.3,,1.5,57.6,,,,
264,함양군,2011-05-18,6.2,27.3,,0.9,66.4,,,,
264,함양군,2011-05-19,9.2,27.2,,1.1,73.1,,,,
264,함양군,2011-05-20,12.4,27.9,,0.8,77.3,,,,
264,함양군,2011-05-21,16.5,27.8,0.2,1.9,76.1,,,,
264,함양군,2011-05-22,13.6,25.0,4.5,0.9,70.6,,,,
264,함양군,2011-05-23,9.1,17.4,6.5,0.8,86.1,,,,
264,함양군,2011-05-24,8.7,26.6,,0.8,71.9,,,,
264,함양군,2011-05-25,11.0,25.8,,0.9,65.8,,,,
264,함양군,2011-05-26,13.2,18.1,15.5,1.2,85.4,,,,
264,함양군,2011-05-27,13.2,19.9,0.5,0.3,88.0,,,,
264,함양군,2011-05-28,14.1,26.0,,0.6,73.8,,,,
264,함양군,2011-05-29,11.7,27.2,,1.3,65.3,,,,
264,함양군,2011-05-30,11.8,29.1,,1.2,69.9,,,,
264,함양군,2011-05-31,15.2,19.1,0.0,1.3,83.3,,,,
264,함양군,2011-06-01,14.1,24.6,20.0,0.6,81.6,,,,
264,함양군,2011-06-02,14.0,28.2,,0.8,76.0,,,,
264,함양군,2011-06-03,14.0,28.6,,1.5,62.9,,,,
264,함양군,2011-06-04,15.7,27.3,,2.3,68.1,,,,
264,함양군,2011-06-05,14.9,30.9,,0.8,62.4,,,,
264,함양군,2011-06-06,12.3,29.9,,0.5,65.3,,,,
264,함양군,2011-06-07,13.2,31.5,,0.9,59.1,,,,
264,함양군,2011-06-08,13.4,31.6,,0.8,59.1,,,,
264,함양군,2011-06-09,16.1,28.5,,1.2,69.9,,,,
264,함양군,2011-06-10,17.8,24.0,2.0,0.5,86.6,,,,
264,함양군,2011-06-11,14.0,30.9,0.1,0.6,72.6,,,,
264,함양군,2011-06-12,18.5,29.0,,0.9,70.6,,,,
264,함양군,2011-06-13,17.2,27.4,,2.0,63.8,,,,
264,함양군,2011-06-14,14.8,27.6,,0.8,77.1,,,,
264,함양군,2011-06-15,15.9,26.2,,0.9,77.6,,,,
264,함양군,2011-06-16,16.1,27.9,,1.1,71.1,,,,
264,함양군,2011-06-17,13.1,29.0,,0.9,70.0,,,,
264,함양군,2011-06-18,18.5,28.7,1.0,0.5,73.6,,,,
264,함양군,2011-06-19,17.0,30.1,,1.0,69.0,,,,
264,함양군,2011-06-20,15.2,31.7,5.5,0.6,80.5,,,,
264,함양군,2011-06-21,16.3,32.9,,1.0,66.8,,,,
264,함양군,2011-06-22,20.1,25.2,24.5,0.4,93.8,,,,
264,함양군,2011-06-23,23.0,31.7,2.5,2.8,73.5,,,,
264,함양군,2011-06-24,23.7,29.1,17.0,1.1,84.3,,,,
264,함양군,2011-06-25,18.1,24.8,79.0,1.0,96.0,,,,
264,함양군,2011-06-26,18.0,25.8,119.0,2.0,88.0,,,,
264,함양군,2011-06-27,18.8,28.3,0.1,1.5,74.1,,,,
264,함양군,2011-06-28,16.7,30.9,1.0,0.8,84.3,,,,
264,함양군,2011-06-29,21.5,32.0,0.1,0.9,80.0,,,,
264,함양군,2011-06-30,21.7,27.7,1.0,0.3,90.5,,,,
264,함양군,2011-07-01,21.8,31.0,0.4,1.7,81.6,,,,
264,함양군,2011-07-02,21.7,32.7,,0.7,81.6,,,,
264,함양군,2011-07-03,23.7,28.8,31.5,1.2,88.4,,,,
264,함양군,2011-07-04,19.5,29.5,11.0,2.7,73.3,,,,
264,함양군,2011-07-05,16.7,32.4,,1.1,72.9,,,,
264,함양군,2011-07-06,19.9,25.1,0.1,0.5,88.6,,,,
264,함양군,2011-07-07,20.3,25.0,19.0,0.1,94.9,,,,
264,함양군,2011-07-08,22.2,29.9,,0.8,87.6,,,,
264,함양군,2011-07-09,20.9,24.3,93.5,0.6,97.9,,,,
264,함양군,2011-07-10,20.2,25.2,117.5,0.3,98.3,,,,
264,함양군,2011-07-11,19.5,29.9,0.5,0.3,91.3,,,,
264,함양군,2011-07-12,21.2,25.6,40.0,0.3,97.0,,,,
