지점,지점명,일시,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),일 최심신적설(cm),평균 전운량(1/10),안개 계속시간(hr),일 미세먼지 농도(㎍/㎥)
264,함양군,2010-06-22,20.6,29.1,,0.6,,,,,
264,함양군,2010-06-23,17.1,30.4,,0.9,65.0,,,,
264,함양군,2010-06-24,14.7,31.1,,1.0,72.1,,,,
264,함양군,2010-06-25,17.5,27.7,0.5,0.9,79.9,,,,
264,함양군,2010-06-26,19.1,23.0,5.5,0.9,95.6,,,,
264,함양군,2010-06-27,20.1,26.6,0.5,1.4,86.9,,,,
264,함양군,2010-06-28,19.9,25.0,9.0,0.5,95.0,,,,
264,함양군,2010-06-29,20.6,31.2,,0.7,83.1,,,,
264,함양군,2010-06-30,21.6,31.4,,1.0,78.4,,,,
264,함양군,2010-07-01,20.6,28.9,0.1,0.4,86.8,,,,
264,함양군,2010-07-02,23.4,26.2,0.0,0.6,94.1,,,,
264,함양군,2010-07-03,23.4,29.6,4.5,1.1,89.1,,,,
264,함양군,2010-07-04,22.7,26.1,4.5,0.8,93.5,,,,
264,함양군,2010-07-05,22.1,30.9,4.0,1.5,80.9,,,,
264,함양군,2010-07-06,19.9,31.9,,1.4,73.1,,,,
264,함양군,2010-07-07,20.3,30.8,,1.8,69.9,,,,
264,함양군,2010-07-08,19.3,30.5,51.0,1.0,80.0,,,,
264,함양군,2010-07-09,19.1,30.7,0.1,0.4,82.8,,,,
264,함양군,2010-07-10,19.1,29.4,1.0,1.2,80.5,,,,
264,함양군,2010-07-11,20.2,21.1,159.5,0.4,98.4,,,,
264,함양군,2010-07-12,20.3,25.5,0.3,0.9,88.4,,,,
264,함양군,2010-07-13,20.4,23.7,1.0,0.6,91.6,,,,
264,함양군,2010-07-14,20.3,30.4,0.1,0.5,81.5,,,,
264,함양군,2010-07-15,21.6,29.6,1.5,0.9,83.9,,,,
264,함양군,2010-07-16,21.0,24.1,42.0,0.1,96.8,,,,
264,함양군,2010-07-17,22.4,29.8,45.0,0.3,91.8,,,,
264,함양군,2010-07-18,21.3,32.0,,0.7,82.9,,,,
264,함양군,2010-07-19,19.7,32.7,,0.6,81.4,,,,
264,함양군,2010-07-20,21.1,31.4,,1.1,78.9,,,,
264,함양군,2010-07-21,23.3,32.9,1.5,1.3,80.8,,,,
264,함양군,2010-07-22,21.4,34.5,,0.7,81.3,,,,
264,함양군,2010-07-23,22.6,33.1,2.0,0.9,80.3,,,,
264,함양군,2010-07-24,22.2,32.8,5.0,1.1,80.0,,,,
264,함양군,2010-07-25,21.9,32.6,1.0,1.3,80.0,,,,
264,함양군,2010-07-26,21.4,32.0,,1.1,75.9,,,,
264,함양군,2010-07-27,20.0,32.9,0.2,0.6,80.1,,,,
264,함양군,2010-07-28,21.9,27.6,30.0,1.5,93.9,,,,
264,함양군,2010-07-29,21.8,29.9,0.5,0.5,86.6,,,,
264,함양군,2010-07-30,23.7,31.3,,1.7,80.9,,,,
264,함양군,2010-07-31,22.5,32.2,,1.4,82.9,,,,
264,함양군,2010-08-01,22.9,34.0,,1.2,79.6,,,,
264,함양군,2010-08-02,23.9,33.5,10.5,1.0,86.4,,,,
264,함양군,2010-08-03,24.8,31.3,,0.9,87.0,,,,
264,함양군,2010-08-04,24.3,33.0,,0.8,84.4,,,,
264,함양군,2010-08-05,23.6,32.2,0.1,1.2,85.6,,,,
264,함양군,2010-08-06,24.5,30.2,5.0,0.5,92.4,,,,
264,함양군,2010-08-07,22.6,32.6,0.5,0.5,89.0,,,,
264,함양군,2010-08-08,21.9,32.9,0.1,0.6,84.4,,,,
264,함양군,2010-08-09,21.6,33.2,,1.1,79.9,,,,
264,함양군,2010-08-10,24.2,28.1,95.0,1.5,95.9,,,,
264,함양군,2010-08-11,24.3,28.9,106.0,3.5,86.1,,,,
264,함양군,2010-08-12,21.6,31.2,0.0,1.7,78.9,,,,
264,함양군,2010-08-13,24.4,31.6,44.5,0.9,92.0,,,,
264,함양군,2010-08-14,23.8,31.3,,0.6,92.5,,,,
264,함양군,2010-08-15,24.7,29.8,22.5,0.4,95.5,,,,
264,함양군,2010-08-16,22.3,30.1,51.0,0.8,91.9,,,,
264,함양군,2010-08-17,21.8,29.5,75.5,0.4,93.0,,,,
264,함양군,2010-08-18,23.0,32.0,0.5,0.5,90.9,,,,
264,함양군,2010-08-19,22.8,32.4,,0.7,85.8,,,,
264,함양군,2010-08-20,23.5,34.2,,0.6,85.1,,,,
264,함양군,2010-08-21,22.4,34.0,,0.4,86.0,,,,
264,함양군,2010-08-22,22.8,33.6,,0.4,82.1,,,,
264,함양군,2010-08-23,21.9,33.7,,1.1,80.0,,,,
264,함양군,2010-08-24,21.3,32.1,1.0,0.6,85.3,,,,
264,함양군,2010-08-25,22.0,29.1,37.0,0.5,92.8,,,,
264,함양군,2010-08-26,22.0,30.7,0.5,0.6,89.6,,,,
264,함양군,2010-08-27,21.9,28.0,1.5,0.6,93.0,,,,
264,함양군,2010-08-28,23.5,26.6,47.5,1.7,89.9,,,,
264,함양군,2010-08-29,23.3,27.9,16.5,1.1,89.3,,,,
264,함양군,2010-08-30,22.5,30.1,0.5,0.2,90.8,,,,
264,함양군,2010-08-31,22.6,30.5,0.5,0.4,91.9,,,,
264,함양군,2010-09-01,22.5,29.6,81.0,1.2,92.8,,,,
264,함양군,2010-09-02,23.6,30.5,27.5,1.5,84.9,,,,
264,함양군,2010-09-03,21.8,32.5,,0.5,85.8,,,,
264,함양군,2010-09-04,21.6,32.0,0.0,0.3,86.4,,,,
264,함양군,2010-09-05,23.0,32.3,,0.9,82.6,,,,
264,함양군,2010-09-06,22.6,25.5,56.0,1.1,96.1,,,,
264,함양군,2010-09-07,21.0,24.9,50.0,1.0,92.3,,,,
264,함양군,2010-09-08,19.3,24.2,,0.3,85.6,,,,
264,함양군,2010-09-09,18.0,27.0,0.0,0.3,89.0,,,,
264,함양군,2010-09-10,19.8,30.2,,0.5,89.0,,,,
264,함양군,2010-09-11,21.5,25.0,21.5,0.2,98.0,,,,
264,함양군,2010-09-12,18.5,28.3,36.0,2.1,82.8,,,,
264,함양군,2010-09-13,16.7,28.0,,1.1,81.5,,,,
264,함양군,2010-09-14,17.1,28.2,0.0,0.2,86.9,,,,
264,함양군,2010-09-15,16.7,28.0,10.5,0.6,79.4,,,,
264,함양군,2010-09-16,15.3,29.9,,0.3,81.4,,,,
264,함양군,2010-09-17,14.7,30.8,,0.3,78.9,,,,
264,함양군,2010-09-18,16.2,30.4,,0.4,81.1,,,,
264,함양군,2010-09-19,15.6,29.7,,0.9,82.0,,,,
264,함양군,2010-09-20,19.5,30.5,0.1,1.3,79.0,,,,
264,함양군,2010-09-21,22.0,32.3,1.0,1.7,76.6,,,,
264,함양군,2010-09-22,17.1,24.5,7.5,1.4,89.9,,,,
264,함양군,2010-09-23,13.3,23.6,,0.6,79.4,,,,
264,함양군,2010-09-24,11.3,23.6,,0.4,80.4,,,,
264,함양군,2010-09-25,9.3,23.9,,0.3,77.3,,,,
