ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,ÃÖÀú±â¿Â(¡ÆC),ÃÖ°í±â¿Â(¡ÆC),ÀÏ°­¼ö·®(mm),Æò±Õ Ç³¼Ó(m/s),Æò±Õ »ó´ë½Àµµ(%),ÀÏ ÃÖ½É½ÅÀû¼³(cm),Æò±Õ Àü¿î·®(1/10),¾È°³ °è¼Ó½Ã°£(hr)
116,°ü¾Ç»ê,1988-01-17,-10.8,-0.8,0.0,6.0,64.5,0.0,4.3,
116,°ü¾Ç»ê,1988-01-18,-9.6,-0.8,0.1,6.3,51.8,0.1,2.0,
116,°ü¾Ç»ê,1988-01-19,-7.3,0.8,,3.4,57.3,,2.3,
116,°ü¾Ç»ê,1988-01-20,-4.8,2.3,,3.5,64.3,,9.3,
116,°ü¾Ç»ê,1988-01-21,-1.4,2.5,1.3,3.5,67.8,1.4,9.0,
116,°ü¾Ç»ê,1988-01-22,-8.8,2.8,2.9,9.3,69.5,3.5,9.5,1.97
116,°ü¾Ç»ê,1988-01-23,-15.0,-8.8,,10.1,61.3,,2.0,
116,°ü¾Ç»ê,1988-01-24,-16.0,-6.6,,8.7,56.8,,0.3,
116,°ü¾Ç»ê,1988-01-25,-13.2,-3.8,0.5,6.7,62.5,0.7,2.3,
116,°ü¾Ç»ê,1988-01-26,-11.5,-2.4,,7.2,48.5,,1.8,
116,°ü¾Ç»ê,1988-01-27,-11.2,0.6,,8.5,56.0,,2.5,
116,°ü¾Ç»ê,1988-01-28,-11.2,1.2,0.0,5.3,54.8,0.0,5.0,
116,°ü¾Ç»ê,1988-01-29,-10.4,1.2,,9.6,50.3,,0.0,
116,°ü¾Ç»ê,1988-01-30,-12.6,-3.0,0.8,6.0,58.0,1.3,5.0,
116,°ü¾Ç»ê,1988-01-31,-11.7,-2.6,,6.6,52.0,,1.5,
116,°ü¾Ç»ê,1988-02-01,-7.9,0.2,0.8,6.6,66.0,0.7,5.5,
116,°ü¾Ç»ê,1988-02-02,-15.2,-1.8,,11.7,41.3,,0.5,
116,°ü¾Ç»ê,1988-02-03,-17.6,-6.8,0.0,7.5,49.5,,0.0,
116,°ü¾Ç»ê,1988-02-04,-9.7,3.4,2.7,9.2,73.8,2.9,10.0,12.62
116,°ü¾Ç»ê,1988-02-05,-5.2,4.8,,7.4,72.3,,7.3,14.5
116,°ü¾Ç»ê,1988-02-06,-14.0,-3.7,,10.3,53.3,,0.0,
116,°ü¾Ç»ê,1988-02-07,-15.4,-6.6,,8.4,52.0,,0.0,
116,°ü¾Ç»ê,1988-02-08,-14.2,-3.0,,7.8,48.8,,0.0,
116,°ü¾Ç»ê,1988-02-09,-12.6,-2.6,,8.8,49.0,,0.5,
116,°ü¾Ç»ê,1988-02-10,-14.3,-3.2,,5.4,46.8,,0.0,
116,°ü¾Ç»ê,1988-02-11,-9.5,-1.4,,2.0,45.5,,5.3,
116,°ü¾Ç»ê,1988-02-12,-7.6,-0.6,0.6,4.2,68.3,0.6,8.8,
116,°ü¾Ç»ê,1988-02-13,-6.6,2.2,,2.4,51.0,,6.3,
116,°ü¾Ç»ê,1988-02-14,-9.6,1.0,,8.2,50.5,,3.5,
116,°ü¾Ç»ê,1988-02-15,-12.8,-2.6,,8.9,50.3,,0.8,
116,°ü¾Ç»ê,1988-02-16,-14.2,-4.0,,7.7,52.3,,0.3,
116,°ü¾Ç»ê,1988-02-17,-12.6,-2.8,,5.6,51.3,,0.3,
116,°ü¾Ç»ê,1988-02-18,-12.4,-1.2,,8.3,51.0,,0.0,
116,°ü¾Ç»ê,1988-02-19,-10.5,3.0,,6.1,62.5,,5.8,
116,°ü¾Ç»ê,1988-02-20,-3.9,4.0,,5.4,57.3,,6.0,
116,°ü¾Ç»ê,1988-02-21,-5.5,6.4,,1.5,47.8,,0.0,
116,°ü¾Ç»ê,1988-02-22,-1.8,5.1,,5.7,69.5,,6.8,
116,°ü¾Ç»ê,1988-02-23,-1.0,6.4,,3.7,58.0,,2.5,
116,°ü¾Ç»ê,1988-02-24,-1.4,5.0,0.0,0.8,64.0,,9.0,
116,°ü¾Ç»ê,1988-02-25,-2.6,5.0,,0.4,68.3,,8.3,
116,°ü¾Ç»ê,1988-02-26,-0.6,7.3,,1.8,57.3,,8.3,
116,°ü¾Ç»ê,1988-02-27,-0.7,8.6,,3.5,59.3,,3.5,
116,°ü¾Ç»ê,1988-02-28,-5.6,4.2,,4.9,37.0,,7.5,
116,°ü¾Ç»ê,1988-02-29,-2.8,3.4,,1.7,46.5,,7.3,
116,°ü¾Ç»ê,1988-03-01,-3.4,5.2,,4.7,60.8,,8.3,
116,°ü¾Ç»ê,1988-03-02,-10.0,-0.2,1.2,8.7,56.8,2.0,4.8,
116,°ü¾Ç»ê,1988-03-03,-10.7,0.2,,9.1,55.5,,0.0,
116,°ü¾Ç»ê,1988-03-04,-9.6,-1.0,0.3,5.5,65.3,,4.3,
116,°ü¾Ç»ê,1988-03-05,-7.2,2.4,,5.4,65.3,,5.5,
116,°ü¾Ç»ê,1988-03-06,-6.6,1.2,0.1,8.1,60.5,0.1,3.8,
116,°ü¾Ç»ê,1988-03-07,-11.3,-1.0,,8.2,58.0,,2.0,
116,°ü¾Ç»ê,1988-03-08,-7.8,0.0,0.9,8.3,61.8,1.7,4.3,
116,°ü¾Ç»ê,1988-03-09,-9.0,4.0,,8.9,67.3,,2.0,
116,°ü¾Ç»ê,1988-03-10,-2.8,9.6,,1.9,42.0,,0.0,
116,°ü¾Ç»ê,1988-03-11,0.3,4.2,32.5,5.1,63.0,,10.0,14.25
116,°ü¾Ç»ê,1988-03-12,-0.6,8.8,,5.7,58.0,,7.5,10.87
116,°ü¾Ç»ê,1988-03-13,1.2,11.8,,2.2,45.0,,5.3,
116,°ü¾Ç»ê,1988-03-14,1.4,7.6,0.9,2.7,65.3,,9.3,
116,°ü¾Ç»ê,1988-03-15,-4.4,5.2,,7.0,46.5,,0.5,
116,°ü¾Ç»ê,1988-03-16,-3.3,4.3,,0.4,40.8,,9.0,
116,°ü¾Ç»ê,1988-03-17,-1.4,8.2,,2.6,51.0,,8.3,
116,°ü¾Ç»ê,1988-03-18,-1.8,1.8,,8.1,65.0,,8.0,11.48
116,°ü¾Ç»ê,1988-03-19,-4.0,6.6,,7.5,39.8,,4.0,
116,°ü¾Ç»ê,1988-03-20,-2.2,7.5,,1.4,42.0,,9.3,
116,°ü¾Ç»ê,1988-03-21,0.6,10.0,0.4,1.8,59.3,,7.5,
116,°ü¾Ç»ê,1988-03-22,-0.1,10.8,0.9,5.5,63.5,,6.5,
116,°ü¾Ç»ê,1988-03-23,-3.8,6.6,,8.7,42.8,,0.8,
116,°ü¾Ç»ê,1988-03-24,-4.4,7.1,,2.2,37.0,,8.0,
116,°ü¾Ç»ê,1988-03-25,1.4,11.3,,6.2,49.0,,4.3,
116,°ü¾Ç»ê,1988-03-26,0.9,8.7,,2.3,55.0,,5.8,
116,°ü¾Ç»ê,1988-03-27,0.9,11.9,,3.6,43.3,,0.0,
116,°ü¾Ç»ê,1988-03-28,1.0,8.2,,2.5,52.3,,4.3,
116,°ü¾Ç»ê,1988-03-29,1.4,10.6,,1.5,54.3,,9.5,
116,°ü¾Ç»ê,1988-03-30,0.8,12.6,,3.0,49.0,,6.8,
116,°ü¾Ç»ê,1988-03-31,2.6,13.4,,3.1,53.0,,2.0,
116,°ü¾Ç»ê,1988-04-01,4.6,13.0,,4.3,52.5,,5.5,
116,°ü¾Ç»ê,1988-04-02,4.2,15.2,,3.9,51.3,,1.8,
116,°ü¾Ç»ê,1988-04-03,6.5,14.3,,5.0,39.5,,6.8,
116,°ü¾Ç»ê,1988-04-04,5.3,17.5,,4.2,43.0,,7.5,
116,°ü¾Ç»ê,1988-04-05,1.7,8.1,,6.6,63.0,,6.8,6.13
116,°ü¾Ç»ê,1988-04-06,1.0,10.4,,2.3,57.0,,6.8,
116,°ü¾Ç»ê,1988-04-07,1.6,12.3,1.8,2.4,54.8,,8.8,
116,°ü¾Ç»ê,1988-04-08,2.0,10.2,,2.8,72.5,,6.5,
116,°ü¾Ç»ê,1988-04-09,1.1,12.8,,4.9,56.8,,0.5,
116,°ü¾Ç»ê,1988-04-10,2.7,14.4,,4.2,42.5,,0.0,
116,°ü¾Ç»ê,1988-04-11,3.6,15.3,0.8,5.4,41.0,,6.5,
116,°ü¾Ç»ê,1988-04-12,4.4,14.0,27.2,6.3,81.5,,5.0,10.13
116,°ü¾Ç»ê,1988-04-13,2.8,12.8,,9.8,60.3,,3.3,
116,°ü¾Ç»ê,1988-04-14,0.8,11.6,,9.0,56.0,,0.0,
116,°ü¾Ç»ê,1988-04-15,1.8,17.2,,6.4,55.0,,0.0,
116,°ü¾Ç»ê,1988-04-16,6.7,16.9,,3.9,48.5,,8.5,
116,°ü¾Ç»ê,1988-04-17,9.3,20.8,2.7,2.8,44.3,,4.5,
116,°ü¾Ç»ê,1988-04-18,2.4,9.4,22.9,8.6,73.8,,7.0,2.83
116,°ü¾Ç»ê,1988-04-19,2.0,9.4,6.1,6.3,74.5,,7.0,1.58
116,°ü¾Ç»ê,1988-04-20,1.6,15.2,,2.0,56.5,,5.0,
116,°ü¾Ç»ê,1988-04-21,2.4,13.0,,6.2,45.8,,5.0,
116,°ü¾Ç»ê,1988-04-22,-0.1,11.9,,5.9,51.5,,0.0,
116,°ü¾Ç»ê,1988-04-23,1.8,12.3,,7.4,61.5,,2.0,
116,°ü¾Ç»ê,1988-04-24,2.2,11.8,,8.0,70.8,,1.5,
116,°ü¾Ç»ê,1988-04-25,4.7,15.6,,9.1,69.5,,0.0,
116,°ü¾Ç»ê,1988-04-26,5.4,19.0,,6.7,61.5,,3.5,
116,°ü¾Ç»ê,1988-04-27,8.0,19.5,,5.9,68.5,,2.0,
116,°ü¾Ç»ê,1988-04-28,10.0,22.3,,4.3,68.0,,7.5,
116,°ü¾Ç»ê,1988-04-29,11.4,22.4,,5.6,69.8,,0.5,
116,°ü¾Ç»ê,1988-04-30,10.1,18.0,4.9,5.3,81.8,,5.5,6.23
116,°ü¾Ç»ê,1988-05-01,9.7,21.7,,8.4,66.5,,5.5,8.17
116,°ü¾Ç»ê,1988-05-02,7.6,21.4,,4.3,29.8,,0.0,
116,°ü¾Ç»ê,1988-05-03,11.8,18.2,0.7,6.1,61.8,,6.3,9.83
116,°ü¾Ç»ê,1988-05-04,9.8,22.6,,4.9,53.8,,5.0,8.67
116,°ü¾Ç»ê,1988-05-05,10.2,22.0,,7.0,41.5,,0.0,
116,°ü¾Ç»ê,1988-05-06,8.4,21.4,,2.6,37.0,,5.5,
116,°ü¾Ç»ê,1988-05-07,9.8,17.5,13.3,4.9,81.8,,8.3,5.75
116,°ü¾Ç»ê,1988-05-08,7.6,19.5,,2.6,50.8,,0.0,
116,°ü¾Ç»ê,1988-05-09,8.2,15.4,,2.0,50.0,,10.0,
116,°ü¾Ç»ê,1988-05-10,8.4,20.0,,3.7,58.5,,5.5,
116,°ü¾Ç»ê,1988-05-11,9.2,16.5,,4.6,71.3,,7.5,
116,°ü¾Ç»ê,1988-05-12,8.2,21.0,,10.2,47.3,,0.0,
116,°ü¾Ç»ê,1988-05-13,9.6,23.4,,7.1,38.8,,5.0,
116,°ü¾Ç»ê,1988-05-14,8.6,18.2,3.2,3.7,46.3,,10.0,
116,°ü¾Ç»ê,1988-05-15,7.5,20.2,,4.1,60.3,,2.5,
116,°ü¾Ç»ê,1988-05-16,11.6,21.6,,6.7,57.5,,5.8,
116,°ü¾Ç»ê,1988-05-17,12.2,22.1,,5.3,53.0,,0.0,
116,°ü¾Ç»ê,1988-05-18,12.0,24.3,,6.8,56.0,,2.0,
116,°ü¾Ç»ê,1988-05-19,14.9,26.2,,3.1,36.0,,3.8,
116,°ü¾Ç»ê,1988-05-20,16.8,28.2,,3.0,45.5,,1.5,
116,°ü¾Ç»ê,1988-05-21,12.4,25.1,2.5,2.5,62.0,,8.5,
116,°ü¾Ç»ê,1988-05-22,8.3,12.4,22.8,2.5,87.5,,9.8,13.4
116,°ü¾Ç»ê,1988-05-23,7.9,16.8,2.4,1.7,72.8,,8.0,3.93
116,°ü¾Ç»ê,1988-05-24,11.0,21.3,,3.2,51.0,,7.0,
116,°ü¾Ç»ê,1988-05-25,12.7,23.6,,3.3,56.8,,1.3,
116,°ü¾Ç»ê,1988-05-26,13.3,23.5,,,60.5,,2.5,
116,°ü¾Ç»ê,1988-05-27,11.8,19.0,1.8,5.1,72.8,,9.5,7.58
116,°ü¾Ç»ê,1988-05-28,9.4,22.4,,4.9,56.8,,0.0,
116,°ü¾Ç»ê,1988-05-29,10.2,24.6,,2.7,57.0,,2.5,
116,°ü¾Ç»ê,1988-05-30,15.0,25.4,,3.1,53.5,,6.5,
116,°ü¾Ç»ê,1988-05-31,13.5,19.0,2.2,2.1,63.8,,10.0,0.92
116,°ü¾Ç»ê,1988-06-01,12.3,14.5,55.4,2.6,95.3,,10.0,24.0
116,°ü¾Ç»ê,1988-06-02,12.3,19.9,0.8,4.8,95.0,,9.8,18.17
116,°ü¾Ç»ê,1988-06-03,11.0,18.8,,3.7,88.8,,9.3,6.97
116,°ü¾Ç»ê,1988-06-04,11.0,15.6,2.7,6.9,96.5,,10.0,24.0
116,°ü¾Ç»ê,1988-06-05,12.6,24.1,,4.0,72.0,,4.5,
116,°ü¾Ç»ê,1988-06-06,14.8,22.0,,4.2,66.0,,4.8,
116,°ü¾Ç»ê,1988-06-07,13.4,24.7,,2.7,58.5,,4.3,
116,°ü¾Ç»ê,1988-06-08,16.8,19.9,7.7,7.1,98.3,,10.0,22.58
116,°ü¾Ç»ê,1988-06-09,16.0,21.3,,2.0,84.5,,9.0,11.2
116,°ü¾Ç»ê,1988-06-10,16.4,23.4,,,90.8,,6.5,10.6
116,°ü¾Ç»ê,1988-06-11,15.8,24.8,,3.5,75.3,,5.5,
116,°ü¾Ç»ê,1988-06-12,17.1,28.1,,5.2,63.0,,1.5,
116,°ü¾Ç»ê,1988-06-13,15.6,27.2,,4.9,58.8,,0.0,
116,°ü¾Ç»ê,1988-06-14,17.4,26.4,,6.0,66.8,,1.5,
116,°ü¾Ç»ê,1988-06-15,17.4,27.2,,4.5,57.0,,6.5,
116,°ü¾Ç»ê,1988-06-16,16.4,25.0,12.8,4.7,74.3,,5.8,6.87
116,°ü¾Ç»ê,1988-06-17,15.2,24.2,,4.4,70.8,,2.5,
116,°ü¾Ç»ê,1988-06-18,14.8,25.4,,4.7,70.5,,4.3,
116,°ü¾Ç»ê,1988-06-19,16.5,23.4,1.3,6.2,89.5,,5.5,10.38
116,°ü¾Ç»ê,1988-06-20,16.3,23.1,,1.6,78.0,,6.5,3.08
116,°ü¾Ç»ê,1988-06-21,15.8,27.0,,,70.0,,0.8,
116,°ü¾Ç»ê,1988-06-22,17.6,25.4,,,61.3,,3.8,
116,°ü¾Ç»ê,1988-06-23,16.8,23.6,,3.0,64.8,,7.5,
116,°ü¾Ç»ê,1988-06-24,16.2,24.9,,4.1,68.8,,5.5,
116,°ü¾Ç»ê,1988-06-25,14.8,27.8,,2.8,61.3,,0.0,
116,°ü¾Ç»ê,1988-06-26,16.8,28.9,,2.5,49.5,,0.0,
116,°ü¾Ç»ê,1988-06-27,17.4,28.6,,2.7,61.8,,0.0,
116,°ü¾Ç»ê,1988-06-28,18.8,26.0,,2.1,72.0,,5.5,
116,°ü¾Ç»ê,1988-06-29,17.8,23.3,6.3,1.6,74.8,,6.8,
116,°ü¾Ç»ê,1988-06-30,18.8,28.0,,5.2,67.3,,5.8,
116,°ü¾Ç»ê,1988-07-01,18.1,28.9,,2.3,73.8,,5.3,
116,°ü¾Ç»ê,1988-07-02,19.4,27.6,36.2,6.4,86.3,,9.3,11.83
116,°ü¾Ç»ê,1988-07-03,19.3,26.7,1.0,3.6,84.5,,6.5,9.62
116,°ü¾Ç»ê,1988-07-04,17.4,25.8,0.3,2.4,73.3,,6.0,2.77
116,°ü¾Ç»ê,1988-07-05,17.8,22.2,0.5,2.2,86.5,,10.0,3.56
116,°ü¾Ç»ê,1988-07-06,18.4,26.1,8.4,6.7,80.5,,7.3,
116,°ü¾Ç»ê,1988-07-07,18.4,27.0,4.6,7.6,80.5,,5.8,
116,°ü¾Ç»ê,1988-07-08,20.2,23.4,3.1,10.9,96.3,,7.5,16.75
116,°ü¾Ç»ê,1988-07-09,19.8,22.2,53.1,6.3,97.8,,10.0,24.0
116,°ü¾Ç»ê,1988-07-10,18.4,24.8,,2.1,82.0,,10.0,4.2
116,°ü¾Ç»ê,1988-07-11,20.2,23.6,1.3,2.4,90.5,,9.3,7.78
116,°ü¾Ç»ê,1988-07-12,19.0,23.7,38.0,4.7,96.3,,10.0,15.88
116,°ü¾Ç»ê,1988-07-13,22.1,24.8,12.6,5.3,97.0,,10.0,24.0
116,°ü¾Ç»ê,1988-07-14,20.6,23.4,43.3,3.8,98.0,,10.0,24.0
116,°ü¾Ç»ê,1988-07-15,20.0,26.6,2.8,1.8,93.3,,6.3,8.35
116,°ü¾Ç»ê,1988-07-16,20.0,24.2,29.5,2.2,91.5,,9.3,3.62
116,°ü¾Ç»ê,1988-07-17,19.6,24.4,8.8,1.7,94.3,,10.0,11.66
116,°ü¾Ç»ê,1988-07-18,19.3,24.7,,2.4,89.8,,9.8,
116,°ü¾Ç»ê,1988-07-19,20.6,23.7,12.1,8.6,95.5,,10.0,2.75
116,°ü¾Ç»ê,1988-07-20,21.4,23.7,27.3,3.8,91.0,,10.0,24.0
116,°ü¾Ç»ê,1988-07-21,19.4,26.0,2.5,2.3,94.5,,8.5,6.45
116,°ü¾Ç»ê,1988-07-22,18.4,20.9,37.7,4.2,95.5,,10.0,13.42
116,°ü¾Ç»ê,1988-07-23,18.2,23.6,4.8,3.0,93.3,,9.3,13.33
116,°ü¾Ç»ê,1988-07-24,18.0,23.4,,2.6,86.0,,6.8,
116,°ü¾Ç»ê,1988-07-25,15.7,21.5,,2.7,84.0,,7.8,
116,°ü¾Ç»ê,1988-07-26,15.8,20.8,,3.8,75.8,,9.0,
116,°ü¾Ç»ê,1988-07-27,16.5,22.8,1.2,4.1,79.5,,8.8,
116,°ü¾Ç»ê,1988-07-28,16.8,26.4,,2.9,78.3,,7.8,
116,°ü¾Ç»ê,1988-07-29,15.1,27.0,,2.1,76.0,,0.0,
116,°ü¾Ç»ê,1988-07-30,16.1,27.9,,2.3,71.5,,0.0,
116,°ü¾Ç»ê,1988-07-31,20.0,28.9,,2.4,76.8,,0.0,
116,°ü¾Ç»ê,1988-08-01,21.8,31.0,,1.0,79.0,,1.0,
116,°ü¾Ç»ê,1988-08-02,23.1,30.9,,3.4,68.8,,0.0,
116,°ü¾Ç»ê,1988-08-03,21.5,31.1,,5.0,75.0,,0.0,
116,°ü¾Ç»ê,1988-08-04,22.5,31.4,,3.3,62.5,,0.0,
116,°ü¾Ç»ê,1988-08-05,23.4,30.6,,2.0,70.0,,1.8,
116,°ü¾Ç»ê,1988-08-06,22.9,30.6,,1.7,75.3,,4.3,
116,°ü¾Ç»ê,1988-08-07,23.7,31.8,,2.8,72.0,,8.3,
116,°ü¾Ç»ê,1988-08-08,23.4,29.4,,2.8,80.8,,4.8,
116,°ü¾Ç»ê,1988-08-09,23.0,30.3,,2.3,75.8,,4.0,
116,°ü¾Ç»ê,1988-08-10,23.0,33.4,,2.8,72.5,,0.0,
116,°ü¾Ç»ê,1988-08-11,21.3,31.4,,4.9,68.3,,1.0,
116,°ü¾Ç»ê,1988-08-12,21.0,30.5,,3.9,70.0,,1.3,
116,°ü¾Ç»ê,1988-08-13,20.8,30.8,,2.7,73.3,,1.8,
116,°ü¾Ç»ê,1988-08-14,22.4,30.7,12.1,4.2,79.3,,4.5,
116,°ü¾Ç»ê,1988-08-15,20.2,29.4,,5.0,73.8,,5.3,
116,°ü¾Ç»ê,1988-08-16,20.9,29.2,0.2,5.0,79.8,,5.8,
116,°ü¾Ç»ê,1988-08-17,21.3,26.6,9.2,5.1,90.8,,7.0,10.12
116,°ü¾Ç»ê,1988-08-18,20.8,26.6,12.0,3.3,91.0,,8.3,6.33
116,°ü¾Ç»ê,1988-08-19,20.0,26.6,,3.1,86.8,,7.0,4.83
116,°ü¾Ç»ê,1988-08-20,20.1,25.2,16.5,4.7,91.8,,8.3,9.95
116,°ü¾Ç»ê,1988-08-21,19.6,24.4,14.9,8.7,90.3,,7.0,9.58
116,°ü¾Ç»ê,1988-08-22,18.6,23.8,,6.0,85.0,,6.8,
116,°ü¾Ç»ê,1988-08-23,17.1,24.8,,3.1,83.3,,4.5,
116,°ü¾Ç»ê,1988-08-24,18.0,26.8,,3.1,81.3,,2.5,
116,°ü¾Ç»ê,1988-08-25,18.4,26.2,,1.8,78.3,,4.3,
116,°ü¾Ç»ê,1988-08-26,18.4,25.2,,3.2,79.5,,7.5,
116,°ü¾Ç»ê,1988-08-27,15.8,20.6,11.4,7.9,92.8,,10.0,
116,°ü¾Ç»ê,1988-08-28,16.8,21.6,7.3,8.0,93.3,,8.3,8.53
116,°ü¾Ç»ê,1988-08-29,14.9,23.1,25.0,9.1,97.5,,10.0,22.08
116,°ü¾Ç»ê,1988-08-30,15.8,26.8,3.5,5.0,92.5,,6.3,8.58
116,°ü¾Ç»ê,1988-08-31,16.8,24.5,,3.2,77.5,,8.5,
116,°ü¾Ç»ê,1988-09-01,17.4,25.4,,1.9,79.0,,2.0,
116,°ü¾Ç»ê,1988-09-02,17.8,24.0,7.4,4.1,81.3,,7.0,
116,°ü¾Ç»ê,1988-09-03,16.0,23.6,,5.4,76.3,,5.8,
116,°ü¾Ç»ê,1988-09-04,16.4,25.6,,5.3,75.0,,5.3,
116,°ü¾Ç»ê,1988-09-05,17.0,22.4,3.0,4.2,84.3,,7.3,
116,°ü¾Ç»ê,1988-09-06,16.4,27.3,,3.7,75.5,,0.0,
116,°ü¾Ç»ê,1988-09-07,18.6,27.0,,2.5,69.3,,2.8,
116,°ü¾Ç»ê,1988-09-08,19.6,27.6,,3.4,63.0,,0.0,
116,°ü¾Ç»ê,1988-09-09,18.1,26.8,,2.5,70.8,,1.5,
116,°ü¾Ç»ê,1988-09-10,15.3,21.2,2.0,3.5,69.0,,7.0,
116,°ü¾Ç»ê,1988-09-11,14.7,17.8,35.8,5.0,92.5,,10.0,21.63
116,°ü¾Ç»ê,1988-09-12,15.2,23.6,,5.7,74.8,,6.0,10.25
116,°ü¾Ç»ê,1988-09-13,16.0,23.2,,2.5,70.3,,5.5,
116,°ü¾Ç»ê,1988-09-14,17.2,22.4,,3.3,71.5,,4.5,
116,°ü¾Ç»ê,1988-09-15,15.8,21.4,,3.7,71.3,,5.5,
116,°ü¾Ç»ê,1988-09-16,15.6,23.4,10.5,2.8,72.8,,5.3,
116,°ü¾Ç»ê,1988-09-17,15.2,24.3,,2.4,74.0,,0.5,
116,°ü¾Ç»ê,1988-09-18,17.3,26.0,,3.4,74.0,,5.8,
116,°ü¾Ç»ê,1988-09-19,13.6,19.5,2.7,3.4,84.0,,7.5,
116,°ü¾Ç»ê,1988-09-20,12.9,22.6,,3.7,72.0,,0.0,
116,°ü¾Ç»ê,1988-09-21,13.6,23.6,,2.4,60.3,,0.0,
116,°ü¾Ç»ê,1988-09-22,16.4,24.4,,2.9,59.0,,1.3,
116,°ü¾Ç»ê,1988-09-23,16.4,22.6,,2.7,57.8,,5.0,
116,°ü¾Ç»ê,1988-09-24,15.8,24.0,,3.6,69.0,,6.8,
116,°ü¾Ç»ê,1988-09-25,10.4,21.1,6.9,4.3,81.8,,6.3,
116,°ü¾Ç»ê,1988-09-26,9.0,15.8,,3.0,79.3,,3.8,
116,°ü¾Ç»ê,1988-09-27,10.0,19.6,,2.9,68.3,,1.0,
116,°ü¾Ç»ê,1988-09-28,11.1,21.3,,4.5,65.3,,0.0,
116,°ü¾Ç»ê,1988-09-29,11.0,20.7,,3.6,61.3,,0.0,
116,°ü¾Ç»ê,1988-09-30,10.5,19.5,,3.5,64.8,,4.0,
116,°ü¾Ç»ê,1988-10-01,13.2,20.6,,3.8,69.8,,3.3,
116,°ü¾Ç»ê,1988-10-02,11.8,19.9,,2.6,65.5,,5.3,
116,°ü¾Ç»ê,1988-10-03,11.7,20.8,,2.9,67.3,,4.0,
116,°ü¾Ç»ê,1988-10-04,13.0,21.6,,3.9,67.5,,4.3,
116,°ü¾Ç»ê,1988-10-05,12.1,16.0,9.0,7.0,81.0,,8.8,2.83
116,°ü¾Ç»ê,1988-10-06,8.2,17.3,,9.1,79.0,,2.5,1.57
116,°ü¾Ç»ê,1988-10-07,8.0,18.0,,3.9,70.5,,1.5,
116,°ü¾Ç»ê,1988-10-08,9.6,17.4,,3.8,63.8,,4.0,
116,°ü¾Ç»ê,1988-10-09,11.4,20.5,,4.2,67.5,,0.0,
116,°ü¾Ç»ê,1988-10-10,12.5,22.2,,3.1,61.3,,1.8,
116,°ü¾Ç»ê,1988-10-11,14.1,19.7,,5.5,71.3,,6.0,
116,°ü¾Ç»ê,1988-10-12,2.3,15.1,,10.4,52.3,,1.0,
116,°ü¾Ç»ê,1988-10-13,0.2,12.0,,8.8,56.3,,0.3,
116,°ü¾Ç»ê,1988-10-14,6.2,17.1,,8.6,76.0,,4.0,
116,°ü¾Ç»ê,1988-10-15,7.8,18.6,,5.9,72.3,,2.0,
116,°ü¾Ç»ê,1988-10-16,9.6,18.9,,3.6,53.8,,5.5,
116,°ü¾Ç»ê,1988-10-17,10.4,18.2,,6.1,72.8,,5.5,
116,°ü¾Ç»ê,1988-10-21,10.0,15.9,,5.4,82.5,,8.0,
116,°ü¾Ç»ê,1988-10-22,7.8,17.3,,4.5,49.0,,0.0,
116,°ü¾Ç»ê,1988-10-23,10.0,19.5,,2.5,43.0,,6.3,
116,°ü¾Ç»ê,1988-10-24,10.1,14.6,2.1,4.0,71.3,,10.0,6.47
116,°ü¾Ç»ê,1988-10-25,9.3,16.8,,3.5,63.5,,1.0,
116,°ü¾Ç»ê,1988-10-26,10.0,19.6,,2.8,55.5,,0.0,
116,°ü¾Ç»ê,1988-10-27,8.4,14.6,,5.0,73.5,,4.0,2.63
116,°ü¾Ç»ê,1988-10-28,3.2,13.0,,6.0,56.5,,0.0,
116,°ü¾Ç»ê,1988-10-29,1.3,10.3,,3.2,47.0,,0.0,
116,°ü¾Ç»ê,1988-10-30,1.5,11.4,,4.0,49.8,,0.0,
116,°ü¾Ç»ê,1988-10-31,2.0,12.6,,4.7,66.0,,1.0,
116,°ü¾Ç»ê,1988-11-01,2.2,11.6,5.8,9.0,74.5,,4.5,
116,°ü¾Ç»ê,1988-11-02,-0.3,9.8,,7.8,51.5,,0.0,
116,°ü¾Ç»ê,1988-11-03,0.7,10.1,,5.4,55.3,,0.0,
116,°ü¾Ç»ê,1988-11-04,4.3,11.8,,4.2,59.8,,5.3,
116,°ü¾Ç»ê,1988-11-05,1.3,10.6,,5.3,54.3,,0.5,
116,°ü¾Ç»ê,1988-11-06,1.0,11.8,,,66.5,,1.0,
116,°ü¾Ç»ê,1988-11-07,4.4,12.7,,,56.8,,0.0,
116,°ü¾Ç»ê,1988-11-08,4.2,15.1,,2.6,56.5,,1.5,
116,°ü¾Ç»ê,1988-11-09,-2.7,9.8,0.2,,73.0,,8.0,
116,°ü¾Ç»ê,1988-11-10,-5.1,4.6,,,43.5,,2.3,
116,°ü¾Ç»ê,1988-11-11,-2.5,10.0,,9.1,59.8,,1.5,
116,°ü¾Ç»ê,1988-11-12,4.0,13.2,,12.0,72.5,,1.0,
116,°ü¾Ç»ê,1988-11-13,0.2,12.5,,8.6,60.0,,0.0,
116,°ü¾Ç»ê,1988-11-14,-3.7,6.1,,7.0,45.8,,0.0,
